Number of Blocks, Time, Time Units, States Explored, Plan Length
11, 0.00, seconds, 470, 34
11, 0.00, seconds, 151, 22
11, 0.00, seconds, 130, 22
11, 0.00, seconds, 534, 44
11, 1.17, seconds, 24531, 50
11, 0.00, seconds, 375, 38
11, 0.02, seconds, 2043, 48
11, 0.00, seconds, 96, 28
11, 0.00, seconds, 405, 40
11, 0.01, seconds, 1103, 42
11, 0.00, seconds, 861, 38
11, 0.00, seconds, 235, 32
11, 0.00, seconds, 110, 20
11, 0.00, seconds, 164, 24
11, 0.00, seconds, 816, 40
13, 0.01, seconds, 922, 38
13, 0.00, seconds, 338, 34
13, 0.20, seconds, 9303, 56
13, 0.02, seconds, 2330, 38
13, 0.02, seconds, 1582, 42
13, 0.02, seconds, 2090, 38
13, 0.06, seconds, 5254, 60
13, 0.00, seconds, 161, 24
13, 0.00, seconds, 662, 34
13, 0.01, seconds, 1549, 54
13, 0.12, seconds, 5753, 56
13, 0.01, seconds, 1309, 46
13, 0.03, seconds, 2212, 50
13, 0.02, seconds, 2268, 52
13, 0.03, seconds, 2814, 52
13, 0.00, seconds, 424, 46
13, 25.29, seconds, 126953, 70
13, 0.01, seconds, 972, 38
13, 0.00, seconds, 798, 34
13, 0.01, seconds, 1289, 36
13, 0.00, seconds, 479, 34
13, 0.00, seconds, 219, 26
13, 0.08, seconds, 4510, 46
13, 0.20, seconds, 8555, 52
13, 0.03, seconds, 2793, 58
13, 0.01, seconds, 1480, 48
13, 0.01, seconds, 821, 30
13, 0.01, seconds, 1628, 34
13, 0.01, seconds, 1326, 50
13, 0.85, seconds, 19487, 60
13, 0.08, seconds, 4630, 54
13, 0.06, seconds, 4478, 54
13, 0.00, seconds, 187, 32
13, 0.03, seconds, 2574, 58
13, 0.26, seconds, 9777, 62
13, 0.06, seconds, 4074, 60
13, 0.01, seconds, 1689, 48
13, 0.00, seconds, 207, 28
13, 0.01, seconds, 1123, 44
13, 24.87, seconds, 114403, 60
13, 0.01, seconds, 854, 34
13, 0.00, seconds, 465, 36
13, 0.02, seconds, 1966, 36
13, 0.08, seconds, 5470, 46
13, 0.00, seconds, 362, 34
13, 0.14, seconds, 7405, 54
13, 0.01, seconds, 1210, 56
13, 0.03, seconds, 2998, 42
13, 0.01, seconds, 1172, 34
13, 0.01, seconds, 1005, 50
15, 21.61, seconds, 83147, 70
15, 0.18, seconds, 7905, 60
15, 0.11, seconds, 5725, 54
15, 0.35, seconds, 10451, 62
15, 0.03, seconds, 1937, 44
15, 0.02, seconds, 1712, 56
15, 2.78, seconds, 35481, 36
15, 2.24, seconds, 31402, 46
15, 0.14, seconds, 7048, 62
15, 0.00, seconds, 444, 32
15, 0.03, seconds, 1795, 44
15, 0.01, seconds, 694, 38
15, 0.63, seconds, 17307, 56
15, 0.42, seconds, 13747, 86
15, 0.33, seconds, 10975, 72
15, 0.01, seconds, 1262, 52
15, 3.77, seconds, 45390, 60
15, 0.04, seconds, 2109, 50
15, 0.00, seconds, 556, 44
15, 0.03, seconds, 2555, 56
15, 0.12, seconds, 6198, 50
15, 0.00, seconds, 403, 44
15, 0.00, seconds, 614, 40
15, 0.07, seconds, 4461, 60
15, 0.13, seconds, 5796, 54
15, 0.00, seconds, 466, 44
15, 3.16, seconds, 56620, 76
15, 1.67, seconds, 36262, 72
15, 0.06, seconds, 2962, 52
15, 0.02, seconds, 1824, 52
15, 0.01, seconds, 563, 46
15, 0.01, seconds, 1012, 44
15, 0.02, seconds, 1307, 42
15, 0.00, seconds, 446, 36
15, 0.02, seconds, 1790, 60
15, 0.16, seconds, 6960, 68
15, 2.94, seconds, 50303, 88
15, 0.00, seconds, 330, 38
15, 0.05, seconds, 2829, 60
15, 0.04, seconds, 2854, 60
15, 0.08, seconds, 4372, 66
15, 0.08, seconds, 4344, 52
15, 0.55, seconds, 18339, 60
15, 0.05, seconds, 2842, 42
15, 0.39, seconds, 11033, 64
15, 6.09, seconds, 58782, 60
15, 0.07, seconds, 4382, 58
15, 0.01, seconds, 1017, 42
15, 0.36, seconds, 14123, 76
15, 0.01, seconds, 726, 42
17, 1.66, seconds, 28168, 62
17, 0.01, seconds, 619, 34
17, 0.04, seconds, 2232, 46
17, 0.01, seconds, 580, 48
17, 0.00, seconds, 399, 46
17, 3.42, seconds, 39721, 84
17, 0.00, seconds, 420, 44
17, 0.20, seconds, 6127, 46
17, 143.99, seconds, 183975, 76
17, 0.29, seconds, 9956, 74
17, 0.05, seconds, 2655, 64
17, 0.01, seconds, 1104, 48
17, 0.03, seconds, 1941, 56
17, 0.01, seconds, 1031, 42
17, 3.94, seconds, 49842, 82
17, 0.01, seconds, 1069, 54
17, 0.02, seconds, 1104, 50
17, 0.39, seconds, 10850, 72
17, 1.53, seconds, 25892, 68
17, 0.00, seconds, 290, 34
17, 2.37, seconds, 30534, 60
17, 0.01, seconds, 684, 42
17, 0.50, seconds, 15801, 84
17, 0.07, seconds, 2876, 48
17, 3.82, seconds, 60240, 86
17, 0.57, seconds, 14129, 54
17, 0.01, seconds, 1012, 52
17, 0.00, seconds, 427, 44
17, 0.02, seconds, 1391, 54
17, 0.05, seconds, 2474, 50
17, 0.72, seconds, 21074, 76
17, 0.01, seconds, 810, 54
17, 0.02, seconds, 1143, 48
17, 0.33, seconds, 12501, 84
17, 0.03, seconds, 1734, 50
17, 3.48, seconds, 43332, 72
17, 1.15, seconds, 18806, 48
17, 0.32, seconds, 9695, 70
17, 0.04, seconds, 2087, 66
17, 0.07, seconds, 3874, 62
17, 0.44, seconds, 11290, 56
17, 1583.52, seconds, 474278, 76
17, 0.18, seconds, 7241, 66
17, 0.80, seconds, 17824, 70
17, 106.88, seconds, 172470, 66
17, 14.31, seconds, 89181, 96
17, 0.17, seconds, 7062, 74
17, 0.20, seconds, 7472, 56
17, 0.07, seconds, 3016, 66
17, 0.62, seconds, 15524, 64
19, 3.00, seconds, 42604, 72
19, 0.11, seconds, 4110, 66
19, 550.80, seconds, 402496, 100
19, 0.92, seconds, 21479, 94
19, 18850.73, seconds, 1543394, 106
19, 4.33, seconds, 44224, 56
19, 0.07, seconds, 2981, 68
19, 697.78, seconds, 447226, 84
19, 4.37, seconds, 48160, 76
19, 1.24, seconds, 23768, 80
19, 1.45, seconds, 24228, 58
19, 1.48, seconds, 20498, 66
19, 19.59, seconds, 75614, 66
19, 1.52, seconds, 27627, 96
19, 0.04, seconds, 1997, 62
19, 0.33, seconds, 8995, 66
19, 32.57, seconds, 88842, 74
19, 0.18, seconds, 7255, 92
19, 19.76, seconds, 90453, 68
19, 0.28, seconds, 9923, 98
19, 0.20, seconds, 6242, 66
19, 0.03, seconds, 1499, 60
19, 0.06, seconds, 2601, 56
19, 277.86, seconds, 340101, 82
19, 43.45, seconds, 107237, 84
19, 1.36, seconds, 26468, 68
19, 4.86, seconds, 48506, 96
19, 2.64, seconds, 35553, 76
19, 16.18, seconds, 105683, 108
19, 0.02, seconds, 915, 56
19, 60.64, seconds, 127277, 82
19, 1610.00, seconds, 535071, 110
19, 0.50, seconds, 10870, 56
19, 0.01, seconds, 581, 38
19, 0.03, seconds, 1318, 52
