Number of Blocks, Time, Plan Length
5, 0.001130009999997128, 8
5, 0.0006797400000095877, 6
5, 0.0011659230000304888, 10
5, 0.0015767749999895386, 14
5, 0.0005910280000307466, 4
5, 0.0007323810000343656, 6
5, 0.0013019799999938186, 14
5, 0.0010639829999945505, 10
5, 0.0009385340000562792, 8
5, 0.0011768619999656948, 10
5, 0.001460598999983631, 14
5, 0.0008419680000315566, 8
5, 0.0015807229999609262, 14
5, 0.001496674999998504, 14
5, 0.0011164659999849391, 10
5, 0.0014402089999521195, 12
5, 0.000919280999937655, 8
5, 0.0016146719999596826, 14
5, 0.0013276049999149109, 14
5, 0.000721073000022443, 6
5, 0.0007944980000047508, 6
5, 0.0016728140000168423, 14
5, 0.0015167840000458455, 14
5, 0.001198540000018511, 12
5, 0.0011095120000845782, 10
5, 0.0006435980000105701, 6
5, 0.0010968889999958265, 10
5, 0.0013955220000525514, 12
5, 0.0009251630000335354, 8
5, 0.0011206149999907211, 8
5, 0.001118007999934889, 10
5, 0.0011997059999657722, 10
5, 0.0008936919999769088, 8
5, 0.0013223230000676267, 14
5, 0.0008533970000144109, 8
5, 0.0014082579999694644, 8
5, 0.0007159480001064367, 6
5, 0.0012173139999731575, 12
5, 0.0009190490000037244, 8
5, 0.001378042000055757, 12
5, 0.0004969650000248294, 4
5, 0.001281585000015184, 12
5, 0.0010960490000115897, 10
5, 0.0012077430000090317, 12
5, 0.001355516999979045, 12
5, 0.001172024999959831, 10
5, 0.0014983959999881336, 12
5, 0.000920836999966923, 8
5, 0.00101789000007102, 8
5, 0.0017020730000467665, 14
6, 0.0013056270000788572, 12
6, 0.0022001450000743716, 18
6, 0.0015287130000842808, 14
6, 0.009975350999980037, 12
6, 0.0017366939999874376, 16
6, 0.001065138999933879, 10
6, 0.0018389650000472102, 16
6, 0.001100021999945966, 10
6, 0.0015226609999672291, 14
6, 0.0017874760000040624, 18
6, 0.0013865149999219284, 12
6, 0.0020376500000338638, 16
6, 0.0015482669999755672, 14
6, 0.0020674050000479838, 16
6, 0.001962563000006412, 18
6, 0.003922126000020398, 12
6, 0.0013297079999574635, 12
6, 0.0017271890000074563, 16
6, 0.0013160380000272198, 12
6, 0.0015547960000503736, 14
6, 0.0019111840000505254, 16
6, 0.0005629879999560217, 4
6, 0.0016256679999742119, 12
6, 0.0013139120000005278, 12
6, 0.0008402070000101958, 8
6, 0.0017216310000094381, 16
6, 0.0028278049999244104, 14
6, 0.004468590999977096, 12
6, 0.0019222940001100142, 16
6, 0.0009722490000285688, 8
6, 0.0013947310000048674, 10
6, 0.0019538669999974445, 12
6, 0.0013184290000936016, 12
6, 0.0017759529999921142, 14
6, 0.002075510000054237, 14
6, 0.0014844750000975182, 14
6, 0.0022638960000449515, 16
6, 0.0030207490000293546, 16
6, 0.0015801609999925859, 14
6, 0.001342517000011867, 12
6, 0.001707272000089688, 16
6, 0.0010961450000195327, 8
6, 0.0016158050000285584, 14
6, 0.0017624009999508417, 16
6, 0.0013282649999837304, 10
6, 0.0014829449999069766, 12
6, 0.001805792999903133, 16
6, 0.008508753999990404, 18
6, 0.0015338160000055723, 16
6, 0.0015790899999501562, 14
7, 0.001377236000053017, 12
7, 0.0020831740000630816, 20
7, 0.0025296109999999317, 22
7, 0.0013565460000108942, 12
7, 0.0020515890000751824, 18
7, 0.0015611000000035347, 14
7, 0.001352505999989262, 12
7, 0.001387396000041008, 12
7, 0.0016730019999613432, 14
7, 0.001732704999994894, 14
7, 0.002039999999965403, 18
7, 0.002151909999952295, 20
7, 0.0017369749999716078, 16
7, 0.0019459869999991497, 18
7, 0.001768268999967404, 18
7, 0.0017564260000426657, 16
7, 0.00161401200000455, 12
7, 0.0016233110000030138, 14
7, 0.0018166290000181107, 16
7, 0.002494491999982529, 22
7, 0.0017246190000150818, 14
7, 0.003450011999916569, 18
7, 0.0017599750000272252, 18
7, 0.0017166769999903408, 16
7, 0.00206667399993421, 20
7, 0.0015311360000396235, 12
7, 0.001762972000051377, 16
7, 0.0017720779999308434, 16
7, 0.0011601660000906122, 10
7, 0.0026744520000647753, 18
7, 0.0017246539999860033, 14
7, 0.0020249299999477444, 18
7, 0.0017451129999699333, 16
7, 0.0021030030000019906, 16
7, 0.0018357290000494686, 16
7, 0.0013866340000276978, 14
7, 0.0015516209999759667, 14
7, 0.001816370999904393, 16
7, 0.0019812499999716238, 18
7, 0.0027849460000197723, 10
7, 0.0014632649999839487, 14
7, 0.007304826999984471, 20
7, 0.0017445790000465422, 16
7, 0.002163849999988088, 20
7, 0.002192808000017976, 20
7, 0.0016628250000394473, 14
7, 0.0014858459999231854, 14
7, 0.00238326600003802, 16
7, 0.002194318999954703, 18
7, 0.0011417150000170295, 10
8, 0.0018527569999378102, 16
8, 0.0015711540000893365, 14
8, 0.002369549000036386, 14
8, 0.0017818039999610846, 16
8, 0.0019528039999840985, 18
8, 0.0019971209999312123, 18
8, 0.003088854999987234, 26
8, 0.0028911310000694357, 24
8, 0.0020236119999026414, 18
8, 0.001642039999978806, 14
8, 0.0026736679999430635, 20
8, 0.0018993669999645135, 18
8, 0.008231937000005018, 18
8, 0.0014705610000191882, 14
8, 0.0018431199999895398, 18
8, 0.0016373500000099739, 14
8, 0.001763419999974758, 16
8, 0.0023296939999681854, 20
8, 0.002903168999978334, 26
8, 0.0015310429999999542, 10
8, 0.0018248849999054073, 16
8, 0.003993150000042078, 14
8, 0.0014317769999934171, 12
8, 0.0021459299999833092, 18
8, 0.001812609000012344, 16
8, 0.0022140479999279705, 20
8, 0.002121473999977752, 16
8, 0.0013043529999094972, 12
8, 0.0014459379999607336, 12
8, 0.0031072780000158673, 20
8, 0.0015989009999657355, 16
8, 0.005590436999909798, 18
8, 0.0017004689999566835, 16
8, 0.0025926710000021558, 18
8, 0.002384180000035485, 20
8, 0.002802293999934591, 26
8, 0.002810352999972565, 26
8, 0.0018022430000428358, 16
8, 0.0026767540000491863, 22
8, 0.0018044950001012694, 16
8, 0.00979727100002492, 18
8, 0.0018486349999875529, 16
8, 0.002928834999920582, 24
8, 0.0017701030000125684, 14
8, 0.0020759369999723276, 14
8, 0.002955735000000459, 20
8, 0.0021822910000537377, 20
8, 0.0021530270000766905, 18
8, 0.009096333999991657, 22
8, 0.0024584840000443364, 22
9, 0.0018089809999537465, 14
9, 0.003035800000020572, 22
9, 0.0031337469999925816, 22
9, 0.002509647000010773, 22
9, 0.0027057180000156222, 24
9, 0.002802837000103864, 22
9, 0.001869762000069386, 16
9, 0.0018837459999758721, 16
9, 0.0071345730000302865, 22
9, 0.001987740999993548, 18
9, 0.002890411999942444, 26
9, 0.0026287310000725483, 24
9, 0.0029908330000125716, 28
9, 0.0028801039999279965, 26
9, 0.0027065329999231835, 24
9, 0.0026997830000254908, 24
9, 0.003487646000053246, 26
9, 0.007028745999946295, 20
9, 0.0024239420000640166, 22
9, 0.0019444019999355078, 18
9, 0.0024523990000488993, 20
9, 0.0022358240000812657, 20
9, 0.0026751369999828967, 24
9, 0.0020046610000008513, 18
9, 0.0026443049999897994, 24
9, 0.0023981609999736975, 20
9, 0.00220149599999786, 20
9, 0.001630259000080514, 14
9, 0.00203903299996, 18
9, 0.0019416889999774867, 14
9, 0.0026689649999980247, 24
9, 0.001869725999995353, 16
9, 0.002851478000025054, 26
9, 0.0024364139999306644, 22
9, 0.002442513999994844, 22
9, 0.003829024999959074, 22
9, 0.0023098079999499532, 22
9, 0.0018522179999536093, 16
9, 0.0019489899999598492, 16
9, 0.0021883000000570973, 20
9, 0.0024003639999818915, 22
9, 0.0024695859999610548, 22
9, 0.004560004000040863, 26
9, 0.0038327769999568773, 24
9, 0.0024940069999956904, 22
9, 0.0016459270000268589, 14
9, 0.007474623000007341, 18
9, 0.002246572999979435, 20
9, 0.0026471789999504836, 24
9, 0.0020367319999650135, 18
10, 0.0032818900000393114, 28
10, 0.0027148980000220035, 24
10, 0.002355563000037364, 18
10, 0.0031863039999961984, 24
10, 0.002162442999974701, 18
10, 0.01001671099993473, 24
10, 0.0034168539999654968, 26
10, 0.002096628000003875, 20
10, 0.005763641000044117, 28
10, 0.002366971000014928, 22
10, 0.004475310999964677, 30
10, 0.0031480600000577397, 28
10, 0.0027425360000279397, 24
10, 0.005521130999909474, 34
10, 0.0030444730000454, 22
10, 0.002527269999973214, 20
10, 0.003045269000040207, 22
10, 0.0030050919999666803, 26
10, 0.0036101360000202476, 32
10, 0.0027505489999839483, 24
10, 0.003165634999959366, 28
10, 0.0030924420000246755, 28
10, 0.003561414999921908, 22
10, 0.004122352999957002, 18
10, 0.0032981250000148066, 28
10, 0.0028823569999758547, 26
10, 0.0033058290000553825, 30
10, 0.011128197000061846, 34
10, 0.0030984210000042367, 28
10, 0.0027178929999536194, 24
10, 0.0026737419999562917, 24
10, 0.0028679099999635582, 26
10, 0.00289483200003815, 26
10, 0.0026955870000620052, 24
10, 0.0032702050000352756, 28
10, 0.0057569110000486035, 32
10, 0.0039044179999336848, 34
10, 0.002641097999912745, 24
10, 0.0037820590000592347, 30
10, 0.003141562999985581, 28
