Number of Targets, Time, Plan Length, Num Satellites, Num Modes, Num Instruments, Num Observations
2, 0.005069246999937604, 6, 10, 5, 10, 2
2, 0.013465416999906665, 13, 10, 5, 10, 2
2, 0.0060286539999196975, 7, 10, 5, 10, 2
2, 0.011558389000128955, 14, 10, 5, 10, 2
2, 0.011054360999878554, 14, 10, 5, 10, 2
2, 0.006695218999993813, 8, 10, 5, 10, 2
2, 0.013090729000168722, 10, 10, 5, 10, 2
2, 0.010113369000009698, 13, 10, 5, 10, 2
2, 0.009019447000127911, 11, 10, 5, 10, 2
2, 0.008847103000107381, 11, 10, 5, 10, 2
2, 0.008230065999896397, 11, 10, 5, 10, 2
2, 0.012848049000012907, 13, 10, 5, 10, 2
2, 0.009727315999953134, 12, 10, 5, 10, 2
2, 0.006510460000072271, 8, 10, 5, 10, 2
2, 0.01563640399990618, 14, 10, 5, 10, 2
2, 0.00927916999989975, 12, 10, 5, 10, 2
2, 0.014187255000024379, 13, 10, 5, 10, 2
2, 0.007246385000144073, 9, 10, 5, 10, 2
2, 0.007729417000064132, 8, 10, 5, 10, 2
2, 0.009463545000016893, 12, 10, 5, 10, 2
2, 0.008820853999850442, 11, 10, 5, 10, 2
2, 0.0069682250000369095, 10, 10, 5, 10, 2
2, 0.003993110999999772, 6, 10, 5, 10, 2
2, 0.008943537999812179, 10, 10, 5, 10, 2
2, 0.015715920000047845, 11, 10, 5, 10, 2
2, 0.010017192000077557, 11, 10, 5, 10, 2
2, 0.009725492000143277, 10, 10, 5, 10, 2
2, 0.009767557000031957, 11, 10, 5, 10, 2
2, 0.00859619300013037, 11, 10, 5, 10, 2
2, 0.005723951999925703, 7, 10, 5, 10, 2
2, 0.009578383999951257, 12, 10, 5, 10, 2
2, 0.007808516000068266, 9, 10, 5, 10, 2
2, 0.005546954000010373, 7, 10, 5, 10, 2
2, 0.013449650999973528, 10, 10, 5, 10, 2
2, 0.0037153410000883014, 5, 10, 5, 10, 2
2, 0.003286229000195817, 4, 10, 5, 10, 2
2, 0.012233639999976731, 13, 10, 5, 10, 2
2, 0.008819358999971882, 11, 10, 5, 10, 2
2, 0.008681053999907817, 11, 10, 5, 10, 2
2, 0.008919930000047316, 11, 10, 5, 10, 2
3, 0.007980633999977726, 9, 10, 5, 10, 2
3, 0.015218773000015062, 11, 10, 5, 10, 2
3, 0.008966167999915342, 11, 10, 5, 10, 2
